,name,workCity,workType,workingExp,companySize,education,jobSummary,companyName,salaryReal,recruitNumber,property,is_duplicate_with_previous
1131,数据系统开发工程师,成都,全职,不限,100-299人,本科,岗位职责1.基于业务理解，构建出目标监控、业务健康度指标体系等，及时发现业务问题和机会，并沉淀数据资产和数据产品2.能够进行行业及市场洞察分析，通过研究目标行业的空间、客户需求等3.敏锐洞察业务和客户痛点，结合内外部数据及定性定量分析方法，助力业务增长4.参与大数据分析，大数据处理，数据挖掘等系统的设计和开发5.完善数据库生态体系与周边工具链，提升数据库运维与接入效率。 任职要求1.掌握Java编...,深圳市中钞科信金融科技有限公司成都分公司,8001-13000,2,国企,False
1132,大数据开发工程师,北京,全职,无经验,1000-9999人,本科,岗位使命 负责对业务领域内的大数据技术发展动态进行分析研究、大数据信息挖掘、大数据行为预算和趋势分析等工作。参与行业大数据平台的架构设计及开发。 岗位职责 一、技术发展分析研究 1.关注业务领域内的大数据技术发展动态 2.搜集大数据处理技术，包括集群、存储、云计算等 3.搜集计算模型，查找相应数学资料 4.负责预研项目的研究背景调研、技术方案设计等工作 二、大数据信息挖掘 1.负责对大量数据进行数...,央视国际网络有限公司,15001-23000,1,国企,False
1133,北京链家营销+企业文化培训+6000底薪,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1134,数据分析专员,北京,全职,不限,100-299人,本科,岗位职责：1. 理解公司电商业务全链路运作逻辑，并从底层需求开始分析，形成可视化的数据呈现，完成特定的数据分析工作；2. 对接公司电商中心各业务口，明确数据分析需求并确保反馈数据的准确性；3. 通过业务流程、行为和重点环节的转化帮助业务更好使用运营数据；4. 在数据分析过程中能够发现问题并及时有效的解决。5. 协助撰写专题型数据分析报告；6. 协助上级梳理报告框架，跨部门协调数据源及研究报告，对内...,内蒙古鸿茅国药医药有限责任公司北京办事处,9001-13000,2,民营,False
1135,大数据开发工程师,杭州,全职,不限,1000-9999人,本科,1、精通大数据Hadoop、Yarn、Spark、Hive、HBase、Kafka、Zookeeper、Flume、AI平台等相关技能；2、熟练掌握linux操作系统技能，对Linux网络优化、网络问题定位以及性能优化有较深入理解；3、有2年以上的系统设计开发经验，熟悉使用Java/Python/Scala等编程语言之一，具有企业运维、开发经验者优先。公司福利∶1.底薪+绩效+双倍加班工资+年终奖...,外企德科,15001-30000,10,合资,False
1136,数据开发工程师,滨州,全职,不限,100-299人,硕士,【岗位职责】1. 从事机器学习和深度学习在数据分析、数据挖掘、数据处理等领域的开发工作，针对工业场景下的数据进行深入分析和建模；2. 负责大数据平台和框架的搭建工作，包括算法实现及系统研发。 【任职要求】1. 硕士研究生及以上学位，计算机、软件工程等相关专业优先；2. 具备良好的编程能力，熟悉Python /C++ /Pytorch /Git /Linux 等；3. 熟悉深度学习相关理论，数据基础...,山东宏桥轻量化科技有限公司,12001-22000,5,,False
1137,数据支持文员,上海,全职,不限,20-99人,大专,工作内容：数据故障排除、配置管理支持，数据健康检查监控和报告，数据批量项目/新集成/清理的负载/更新/迁移，入站的集成规范&与其他系统的出站数据流/连接器。运行数据质量度量工具并采取行动纠正问题，包括系统性问题的根本原因分析，确保数据符合定义的数据标准，协助促进有效使用标准数据管理工具和流程数据测试和故障排除。职位将收到方向和支持。此职位级别将通常包括初级数据支持分析员主要执行基本任务。 工作要求...,高恩船舶维护技术咨询(上海)有限公司,12001-14000,1,外商独资,False
1138,北京链家营销+6000底薪+提成月入过万,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1139,数据分析师（工作地点：海淀区）,北京,全职,不限,100-299人,本科,岗位职责：1、能够深入客户业务场景，理解并合理抽象业务需求，将业务需求转换为数据分析工作；2、负责客户现场数据的分析，完成大数据采集、预处理、统计分析程序的开发；3、参与公司数据分析平台的功能设计、软件开发、迭代优化，能够灵活使用平台完成业务需求开发。任职要求：1、计算机或相关专业本科以上学历；2、良好编程基础和开发经验，熟练掌握Hadoop、Spark、kafka、Flume、Elasticse...,北京信联数安科技有限公司,8001-15000,2,民营,False
1140,大数据开发工程师,成都,全职,不限,1000-9999人,本科,必备技能： * 4年以上使用Java、Scala 等类似语言进行软件开发的经验 * 3年以上大数据软件架构和设计经验 * 4年以上Spark、Flink、Hadoop等大数据组件实践经验 * 3年以上Kafka相关的开发和维护经验 所需资格 1、熟悉Hadoop框架、Hive原理，深入理解大数据调度的原理及工程应用 2、有超大规模、超高并发大数据离线计算和实时计算系统实践经验; 3、深入了解大数据...,外企德科,14001-28000,5,合资,False
1141,大数据开发（Java、Python都可以）周末双休,深圳,全职,不限,10000人以上,本科,【Java大数据开发】熟练掌握java，hadoop，mapreduce，spark/flink，kafka，掌握spring boot框架【python大数据】--熟悉python，shell编程，熟悉python模块，有数据分析经验岗位职责：【搜索大数据平台项目】主要负责网页爬取，EC策略开发，优质库开发和监控，摘要库分析和开发，网页质量pagevalue，ES搜索策略开发，unibox开发这...,中软国际,0-0,10,上市公司,False
1142,软件开发、数据分析,天津,全职,1年以下,20人以下,本科,可参加项目，招标文件等数据分析师岗位职责：1、负责数据治理技术的规划论证，制定相关数据标准、数据管理体系和数据治理流程，并推进整体方案落地和实施;2、组织、协调各部门开展数据治理工作，推动数据治理工具落地。3、负责收集整理各业务数据，对多种数据源进行深度诊断性组合分析、挖掘、深度分析和建模，对相关数据进行深度挖掘分析。4、参与数据仓库、BI建设工作。任职要求：1、能快速理解业务、发掘业务细节和数据...,精维锐思(天津)数据科技有限公司,6001-8000,1,,False
1143,北京链家营销+6000底薪+提成月入过万,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1144,大数据开发工程师,杭州,全职,不限,20-99人,学历不限,工作认真负责，有较强的的责任心,杭州维实科技有限公司,10001-12000,1,民营,False
1145,Java/前端/测试/python/c++/c/go/数据开发,重庆,全职,不限,1000-9999人,本科,全额五险一金，试用期全新不打折 后台开发、前端开发、测试、大数据、运维等岗位 职责： 1、负责研发领域IT系统技术方案的设计、开发等工作; 2、负责项目开发过程中的技术攻关及解决运行中出现的技术问题; 3、负责产品核心模块的代码编写和LLT测试: 4、负责产品疑难问题的分析和定位。 岗位要求: 1、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/ Python/JS/HTML/GO等编程语言...,外企德科,12001-24000,10,合资,False
1146,大数据开发工程师,深圳,全职,不限,10000人以上,本科,岗位职责：负责大数据平台的相关开发实现，包括java、调度代码、数据库应用 任职要求：熟练使用SQL语句，有java开发经验；,比亚迪,17001-30000,1,民营,False
1147,数据采集员,北京,全职,不限,20-99人,大专,岗位内容：1. 定期收集和整理特定领域内的数据信息，根据需求建立数据指标和模型。2. 收集客户需求并提供数据支持，协助业务部门进行数据分析和决策。3. 参与数据生命周期管理和数据质量控制，确保数据的安全和可靠性。任职要求：1. 具有数据分析和统计基础知识2. 了解常见数据存储格式和数据传输协议3. 能够熟练使用查找资料和解决问题的方法，善于沟通和协作。 上班时间：上午09：00--12：00、下午...,北京祥达德豹科技有限公司,9001-12000,5,其它,False
1148,北京链家营销+6000底薪+提成月入过万,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1149,大数据平台后端开发(数据集成方向）（网易正编）,广州,全职,不限,100-299人,本科,职位描述1、负责数据集成平台的后台研发工作，包括但不限于可观测性，任务管理，算子研发等2、持续跟进大数据领域的技术发展，并和内部团队深度协作，推进业务场景高效落地。职位要求1、熟悉Java等主流语言，对性能优化与常用框架有较深入实践，且掌握linux系统原理及相关使用；2、具备扎实的计算机科学功底和编程能力，熟悉常见算法和数据结构，具有良好的编程习惯3、掌握大数据相关分布式组件运用，包括但不限于h...,广东钰顺数字科技有限公司,20001-40000,1,民营,False
1150,大数据开发（可实习）,郑州,全职,不限,20-99人,大专,岗位职责：1、辅助高级工程师做大数据平台组件、数据中台、大数据应用等领域的开发工作。2、参与大数据技术验证、方案选型、架构设计。3、对公司各产品系统平台、数据库做安全的评估、支撑及防护加固；4、制定完善的信息安全规范及数据安全管理体系，并且能够推动落地实施。任职资格：1、计算机相关专业大专以上学历优先考虑；2、有较强的逻辑分析和独立解决问题的能力，有团队配合意识；岗位情况：单双休，五险一金，8小时...,河南澜动实业有限公司,6001-9000,5,,False
1151,C/C++，java，JS，python，软件测试，数据开发,上海,全职,不限,1000-9999人,本科,"岗位地点： 北京，上海，南京， 杭州，深圳，东莞，长沙，武汉，西安，成都华研所 岗位要求： 本科及以上学历，计算机、软件工程、通信等相关专业优先，转行，转专业都欢迎。 （机考：提供复习资料，每个环节 TIPS 辅导，通过率高！！-直达面试！！！全程流程随时跟进可查, 一个部门不满意可转推不同部门）： 岗位： C/C++，java，JS，python、Go通用软件开发工程师，软件测试工程师，大数据开...",外企德科,15001-30000,10,合资,False
1152,数据开发,荆州,全职,不限,20人以下,本科,新初创公司，公司业务为软件开发与ai数据模型。工作内容：负责对音视频，文字数据的校对，整理，理解文本内容并对内容进行二次自主编辑，主要是对内容进行二次问答式编辑。最终用于LLM中小模型的开发。工作能力：必须具备较强的语言推理能力，较好文字内容理解能力，语言组织能力。工作细心细致，对ai和数据方向有兴趣。本科及以上学历，文科生可能更适合。非开发岗所以不需要具备开发技术栈。有熟练使用过GPT类ai 工...,武汉智乾未来科技有限公司,4001-5000,1,,False
1153,北京链家营销+6000底薪+提成月入过万,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1154,数据应用开发工程师,北京,全职,不限,20-99人,本科,岗位要求1、统招本科及以上学历（要求学信网可查）2、两年以上技术开发经验，一年以上项目管理经验3、计算机应用、软件工程、信息管理等相关专业优先考虑；4、较强的工作压力承受能力；5、具备良好的沟通能力和协调能力；6、有接触学习过ERP或者OA产品，如：金蝶、用友，泛微，致远等，优先考虑；岗位职责1、根据大客户需求开发各类管理系统（开发工具和平台为我公司自研的无代码开发平台）2、负责团队的培训，管理，...,北京魔方恒久软件有限公司,7001-12000,1,民营,False
1155,大模型数据开发工程师,天津,全职,不限,20-99人,本科,工作职责：1、参与公司大模型、人工智能相关应用项目研发，负责知识数据处理、清洗、加工等工作，保证数据质量；2、参与数据建模和分析，研发和优化大模型、NLP、机器学习相关算法及模型。 岗位要求：1、计算机、数学、统计学相关专业，统招本科及以上学历；2、有扎实的数据结构、算法等理论基础和实践；3、有较高的工程实现能力，熟练掌握Python、java等数据处理开发语言；4、能够自主阅读英文文献。 拥有以...,天津德尔塔科技有限公司,7001-10000,1,民营,False
1156,Java/前端/测试/python/c++/c/数据开发,宝鸡,全职,不限,1000-9999人,本科,全额五险一金，试用期全新不打折 后台开发、前端开发、测试、大数据、运维等岗位 职责： 1、负责研发领域IT系统技术方案的设计、开发等工作; 2、负责项目开发过程中的技术攻关及解决运行中出现的技术问题; 3、负责产品核心模块的代码编写和LLT测试: 4、负责产品疑难问题的分析和定位。 岗位要求: 1、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/ Python/JS/HTML/GO等编程语言...,外企德科,15001-30000,10,合资,False
1157,数据分析助理,天津,全职,不限,100-299人,大专,岗位职责：1.协助进行媒体广告数据分析；2.协助编写广告和舆情数据监测报告；3.能独立完成简单的分析报告。任职要求：1.专科及以上学历，广告、新闻、传播学、统计学等相关专业优先；2.优相关数据领域工作经验优先；3.熟悉品牌植入项目合作与植入创意；4.有良好的团队协作能力，能承受较大的压力；5.良好的沟通能力和文字表达能力。 岗位福利：带薪年假 五险一金 周末双休 绩效奖金 节日福利 氛围活跃,天津福硕鑫盛科技有限公司,5001-9000,3,民营,False
1158,国民链家招聘,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1159,数据分析师,北京,全职,不限,20-99人,大专,岗位内容：1. 收集、整理和分析各类数据，为公司提供基础数据和决策支持。2. 建立和维护各种类型的数据指标和报告，跟踪业务进展和趋势。3. 参与规划和执行公司数据战略，推动数字化转型和技术创新。4. 探索和应用数据挖掘和机器学习技术，提高数据价值和利用效率。任职要求：1. 大专及以上学历，相关专业优先。2. 熟练使用常见的数据分析工具和平台，如Excel、BI工具等。3. 具备较强的数据处理和分析...,北京中瓴时代科技有限公司,6001-10000,3,其它,False
1160,数据仓库工程师,北京,全职,不限,300-499人,本科,岗位职责： 1. 负责数据仓库的架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案； 2. 负责分析和解释产品试验，市场运营活动等结果，为产品改进，推广等提供数据支持； 3. 负责建立用户数据分析模型，针对用户行为进行数据监控和统计，发现用户行为模式与规律，为改进推荐系统提供支持； 4. 负责参与公司流量日志数据仓库的设计、建设和治理工作； 5. 负责对海量用户日志数据链路进行架构规划...,未名融智(北京)科技有限公司,16001-30000,1,民营,False
1161,大数据开发（Java/python）,深圳,全职,不限,1000-9999人,本科,SQL、，熟悉大数据生态，如Spark、hive、HDFS、Hadoop等 1、有语料库建设相关经验优先，2、熟练使用excel等办公软件和数据统计工具，3、了解基本Java Scala 框架4、学习能力和抗压能力，积极主动，善于沟通，认真踏实负责. 5主要有Java或python开发的经验。,外企德科,18001-35000,10,合资,False
1162,数据开发工程师,通辽,全职,不限,500-999人,大专,岗位内容：1. 参与设计、实现和维护数据管道和 ETL 流程。2. 进行数据处理和分析，确保数据质量和完整性。3. 支持用户在数据仓库中制定与需求相符的报表或 Dashboard。4. 协助其他团队成员处理数据相关问题并解决疑难杂症。任职要求：1. 熟悉至少一种主流数据库（如 Oracle/MYSQL/SQL Server/PostgreSQL）及 SQL 语言。2. 了解基础的数据结构和算法，具...,赤峰谛禾汽车科技有限公司,8001-16000,5,其它,False
1163,北京链家营销+6000底薪+提成月入过万,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1164,大数据开发工程师,深圳,全职,不限,10000人以上,大专,"任职要求： 1.熟悉大数据平台，熟悉数据开发全流程； 2.熟悉多种数据源的采集方式； 3.熟悉sqoop,hive,mapreduce,spark,flink等组件； 4.熟悉etc过程，实际工作中使用过airflow,kettle,Azkaban,DolphinScheduler等其中一个调度工具，有多种异构数据源同步经验； 6.精通sql，熟悉oracle、mysql等关系型数据库 7.具有较...",软通动力信息技术(集团)股份有限公司,12001-16000,1,民营,False
1165,数据开发工程师（DX 9czf)(J10641),石家庄,全职,不限,1000-9999人,本科,岗位职责:1、熟练使用sql，有一定的运营商业务理解能力，对业务部门的数据分析需求给予实现与支持；2、负责数据的提取、统计及数据汇总分析报告；3、了解etl开发过程，经学习后能利用公司或业内的主流数据工具（如ETL、数据治理等）完成数据调度的开发配置及运行；4、 参与数据仓库（数据集市）业务模型、主题分析设计工作；5、数据库和大数据平台的日常运维工作。任职要求:1、 统招本科及以上学历，要求学信网...,东方国信,8001-15000,4,上市公司,False
1166,数据开发工程师,佛山,全职,1年以下,10000人以上,本科,工作职责：1. 管理内部网页应用软件开发的项目周期，包括需求研究、系统设计、系统实施、用户验收测试和推广；2. 为应用功能提供持续的用户支持；3. 支持上级处理内部用户的临时请求；4. 协助上级进行数据分析和报告。职位要求：1. 计算机科学、信息技术或相关学科的本科或以上学历；2. 具备扎实的编程语言知识，如HTML、JavaScript、CSS、PHP、JAVA、SQL、React和Python...,PCCW  电讯盈科,7001-9000,1,外商独资,False
1167,城市大数据分析（数据模拟方向）,北京,全职,不限,20-99人,硕士,主要职责 • 负责城市规划、城市交通、城市网络等时空数据挖掘、建模和分析； • 负责探索大数据、城市计算、复杂网络、自然语言处理等前沿技术在城市研究中的应用； • 参与城市规划相关的热点技术调研、文献梳理、案例研究和论文撰写； • 参与国家和北京市等相关科研项目的申报和研究工作。 任职要求 • 硕士及以上学历，城市规划及相关专业、地理信息科学、数学和计算机等相关专业 • 熟练掌握Python/R/...,北京城垣数字科技有限责任公司,12001-15000,2,,False
1168,北京链家营销+6000底薪+友爱合作氛围,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1169,数据开发工程师（初中高级）,哈尔滨,全职,不限,20-99人,本科,工作内容1、报表开发2、数仓模型、集市宽表开发3、项目经理交代的其他任务任职要求1、有ETL经验，熟练使用ORALCE、PG等常用数据库，熟悉MPP分布式大数据平台，熟练使用SQL，有SQL调优经验；2、有银行工作经验，对银行信贷业务熟悉优先考虑；3、学习能力和沟通能力较强优先考虑。 职位福利：五险一金、节日福利、年终奖、项目奖金等。,海南诚铭运网络科技有限公司,9001-14000,1,,False
1170,大数据开发工程师,郑州,全职,不限,500-999人,大专,"岗位职责:1.负责数据分析、加工、清理、处理程序的开发;2.负责数据相关平台的搭建、维护和优化;任职要求:1.计算机相关专业大专学历以上；2.熟练掌握linux常规命令与工具,具有简单的Shell脚本编写能力；3.熟悉Java和Scala语言；4.熟悉MySQL数据库,具有一定的SQL优化技巧；5.优越的办公环境，朝九晚六周末双休，提供企业级的岗前培养福利福利待遇：1、【薪资】转正6-1W，一年后...",河南亚菲品牌策划有限公司,5001-8000,19,民营,False
1171,大数据开发工程师,武汉,全职,不限,100-299人,本科,岗位职责：1、负责大数据平台的建设、数据接入、处理、分析和挖掘工作；2、负责数据模型的建立、设计和算法实现，以及模型效果的追踪、检验及优化；3、利用数据算法为产品和业务提供数据分析、报表生成、智能告警等；4、和各产品沟通，为产品监控、服务质量提升等方面提供数据支持；岗位要求：1、出色的数据分析、总结归纳能力，逻辑清楚，思维缜密，数据敏感度高；2、熟练使用Spark/Flink大数据框架，包括Spa...,江苏圣旺科技有限公司,10001-20000,1,民营,False
1172,Java/前端/测试/python/c/c++/数据开发,佛山,全职,不限,1000-9999人,本科,1、本科以上毕业，双证齐全； 2、具备Java/python/C++/C/JS/等任意一种开发语言，熟悉常用的算法和数据结构，熟悉软件开发流程； 3、 对技术有追求，良好的团队合作及沟通能力； 试用期全薪，入职即缴纳五险一金（全程线上面试）职位福利：五险一金、加班补助、14薪、周末双休,外企德科,14001-28000,10,合资,False
1173,北京链家自由营销+6000底薪+提成月入过万,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1174,数据开发工程师,通辽,全职,无经验,500-999人,中专/中技,1.负责数据分析、加工、清洗、处理程序的开发; 2.从事海量数据分析、挖掘相关工作; 3.负责大数据相关平台的搭建、开发、维护、优化; 4.对业务部门的数据分析需求给予实现与支持; 5.对公司的“数据驱动运营”的业务目标进行大数据架构方案实现。,赤峰谛禾汽车科技有限公司,6001-12000,5,其它,False
1175,数据工程师,上海,全职,不限,300-499人,本科,"工作职责 1. 数据架构设计：负责设计和规划公司的数据架构，包括数据存储、数据处理、数据传输等方面，以确保数据的高效、可靠和安全存储和处理。2. 数据库设计和管理：参与设计和管理公司的数据库架构，包括关系型数据库、NoSQL 数据库、数据仓库等，确保数据的存储和查询性能满足业务需求。3. 数据建模和 ETL：与数据分析师和开发团队合作，进行数据建模和 ETL（Extract, Transform,...",上海宇量昇科技有限公司,20001-40000,1,,False
1176,数据分析岗,北京,全职,不限,20-99人,硕士,专业要求：02经济学类、0303 社会学、0302政治学、0812计算机科学与技术、0852计算机科学与技术、1102战略学、12管理学类、1204公共管理等相关专业岗位职责：协助本部门完成数据搜集、整理、分析和利用，及时提供信息支持，定期追踪重要领域和关键技术发展情况，洞察业务动作，提供决策基础。结合国际国内收集的资讯信息，形成数据分析报告。通过数据分析，挖掘行业问题，提出优化建议。,北京国信安邮科技有限公司,10001-15000,1,民营,False
1177,中国移动正式员工-大数据开发,杭州,全职,不限,100-299人,本科,职位描述： 1、负责根据业务需求，开发数据集市模型及指标； 2、负责经营分析数据应用支撑，并固化报表； 3、负责核查并解决数据质量问题，保障经营分析指标有效性。 任职资格： 1、熟练掌握大数据生态相关技术，包括HDFS、MapReduce、Yarn、Spark、Hive、HBase、Flink等； 2、熟练使用HiveSQL，熟悉数据仓库理论，有较好的大数据应用开发能力； 3、具备良好的需求理解能...,浙江外服人力资源服务有限公司,15001-30000,5,国企,False
1178,国民链家招聘,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1179,数据开发工程师(A208990),常州,全职,不限,1000-9999人,本科,职位描述：1、参与数据仓库平台数据模型开发及调优工作2、配合公司数据应用的推进，利用数据应用平台对数据进行展示3、配合完成数据质量代码编写及重构工作4、负责数据相关平台相关运维管理工作职位要求：1、3年以上数据数据仓库建设相关工作经验，计算机、数学等相关专业，本科以上学历2、具备数据模型和逻辑模型设计、业务映射规则整理能力3、了解数据仓库实施方法论、了解数据仓库体系4、熟悉数据展示方法，如BI展示...,星宇股份,8001-13000,1,上市公司,False
1180,数据开发工程师(J10088),株洲,全职,不限,1000-9999人,本科,岗位职责:1、负责业务部门需求分析、业务逻辑解读，利用数据开发、数据可视化、数据分析等技术，满足业务需求；2、负责公司数据治理工作，包括搭建数据指标体系、数据标签体系等；3、负责挖掘数据数据价值，结合业务需求及数据洞察完成数据建模分析，通过数据驱动业务；4、负责海量数据的挖掘算法及模型应用研究；5、负责数据相关的用户调研、需求分析、新产品的设计开发以及数据的日常管理与维护工作。任职要求:1、统招9...,千金药业,8001-15000,3,股份制企业,False
1181,数据分析师,北京,全职,不限,20-99人,本科,数据分析师1、深入了解公司业务流程及数据特点，多角度分析挖掘数据价值；2、负责各类统计指标管理，厘清指标定义、统计口径、计算逻辑，使得分析结果可解释、可管理，数据成本可控制；3、负责基于数据的应用模型研究，在特定场景中落实风险和成本管理；4、参与数据资源和数据质量管理支持工作。任职要求：1、本科及以上学历，应用统计学、应用数学、计算数学等相关专业优先；2、有市场调研、数据资源调查、文献分析经验；3...,中大信信用管理有限公司,6001-8000,1,民营,False
1182,大数据开发工程师,深圳,全职,不限,1000-9999人,本科,【工作职责】1、深度参与到华为大数据Hadoop、Yarn、Spark、Hive、HBase、Kafka、Zookeeper、Flume、AI平台等组件的研发、交付及解决方案支撑；2、探索云服务化实现的前沿技术，并负责华为云大数据服务的架构设计、开发、测试及运维。业务技能要求：1、熟悉大数据相关开源软件，有应用大数据组件的解决问题的实战经验更好，有开源社区代码贡献者优先；2、具备团队意识，与他人合...,外企德科,20001-40000,8,合资,False
1183,北京链家营销+6000底薪+提成月入过万,全国,全职,不限,10000人以上,本科,【链家总部直聘】北京链家校园招聘启动啦！！！《行业看北京，北京看链家》即将毕业，或者已经毕业的你，是否梦想着有一个好的平台施展自己的能力，是否想通过自己的努力得到一个公平公正的晋升机会，是否想选择一份职业长久的坚持下去；我们始终相信，当年轻遇见年轻，就可以创造更强大的新生力量；欢迎更多有梦想的年轻人加入链家，和我们一起高速成长，造就未来！ 【岗位职责】：1、负责 贝壳找房app 和 链家网 线上客...,北京链家置地房地产经纪有限公司,6000-10000,2,民营,False
1184,python数据开发工程师,大连,全职,不限,100-299人,学历不限,1，拥有3--5年IT开发经验。2，有过3年以上对日开发经验。能独立完成过对日项目的如测试报告书等的成果物。3，日语2级以上水平。4，熟练编写python，熟悉数据处理相关库的使用，如pandas。5，熟悉数仓/数据湖的设计和构建，具备数据加工处理（ETL）相关经验，并至少掌握一种ETL工具。6，熟练编写SQL文，并具备一定的SQL调优能力。7，熟悉网络相关知识，如VPN网关的搭建，路由表的设定等...,株式会社GSD,10001-20000,2,外商独资,False
