,name,workCity,workType,workingExp,companySize,education,jobSummary,companyName,salaryReal,recruitNumber,property,is_duplicate_with_previous
15,标准数据分析师,北京,全职,不限,1000-9999人,硕士,有数学建模、数理统计等相关研究经验者优先1、硕士及以上学历，计算机应用技术、应用数学、统计学、数量经济学、技术经济学、工业工程等相关专业；2、英语六级以上；3、熟练使用各种数据获取、处理及可视化分析软件；4、具有一定的资料收集能力、数据分析能力和报告写作编辑能力；5、态度严谨认真、好奇心强、逻辑思维清晰，善于推理、勇于创新、乐于奉献。,航空工业综合所,0-0,0,其它,False
16,经营数据分析管培生(J18364),上海,全职,无经验,1000-9999人,硕士,工作职责：1、围绕公司使命和愿景进行战略布局，通过对行业分析、竞争对手研究、企业访谈、消费者调研等研究分析，解读趋势，为我司所用；2、深入了解公司业务，运用系统的商业分析和战略规划方法，持续推动公司战略决策/落地，并通过数据分析挖掘问题点和机会点，为管理层决策、业务运营策略提供分析支持；3、协助公司每周、月度、季度、半年度及年度经营分析与建议；4、协助完成各业务职能模块经营数据分析与计划日常监控追...,来伊份,0-0,2,上市公司,False
17,数据分析师,金华,全职,不限,1000-9999人,本科,1、协助分管事业部开展流程优化，数据及报告机制的建立；2、负责分管事业部/研究院的各类行动方案、工作规划的进度跟踪及反馈；3、协助分管副总裁实施各类项目的跟进落地。,浙江绿源电动车有限公司,0-0,0,民营,False
18,数据分析师,北京,全职,无经验,1000-9999人,硕士,职位描述：1.开展数据分析建模，编制分析报告；2.针对客户和行业特点，落实数据应用相关工作；3.负责提出数据分析的解决方案。任职要求：硕士研究生及以上学历，计算机科学与技术、软件工程、数据科学、应用数学、统计学、信息管理与信息系统、电力系统及其自动化、电气工程等相关专业,国网信息通信产业集团有限公司,0-0,11,国企,False
19,数据分析 电商运营,扬州,全职,不限,100-299人,本科,公司总部在义乌，成立于2006年，扬州、合肥、武汉为分公司，公司岗位优势：1.公司有专业的电商运营团队，产品的爆品打造能力、业绩增长速度，市场占有率遥遥领先同行。运营部人员大部分来自一本、211、985院校，团队具有较强的学习、钻研、创新能力。 2.公司提供领先于市场80%的薪资报酬，员工有归属感和稳定性。3.公司成立将近20年，开发沉淀了一批热卖产品，同时依托公司现有优质的供应链，具备总成本最低...,义乌市微星百货有限公司,5000-10000,16,民营,False
20,【交通】交通数据分析师,上海,全职,不限,1000-9999人,本科,工作内容：1、主要参与智能交通项目建设中的大数据业务，负责数据分析、处理、建模工作；2、跟进交委、公安、道路局等行业数据需求，协助搭建日常报表；3、观察和分析交通行业数据，了解数据背后的含义，构建数据评价体系，通过算法实现数据增值。4、对多源交通数据进行关联分析，保障数据质量，挖掘数据价值。职位要求：1. 交通工程、自动化、计算机等相关专业本科、研究生，具备较强的交通类感知数据分析、治理能力，智能...,上海电器科学研究所（集团）有限公司,0-0,0,国企,False
21,BI数据分析管培生（大连）,大连,全职,不限,10000人以上,本科,工作职责：1.协助完成BI业务运营数据和预算分析数据的提取、数据处理、报表开发和数据分析2.协助完成数据产品的概要设计以及数据仓库的建模3.参与BI分析产品的服务应用支持4.协助参与统一管理数据集市中数据模型开发工作岗位要求：1.2024届计算机、数据及大数据、软件工程、信息工程、数学、统计学，电子商务等相关理工科专业2.熟悉数据库相关知识，熟悉SQL或MySQL数据库，了解SQL的性能优化等3....,高知特信息技术(上海)有限公司,6000-7000,0,外商独资,False
22,交银金科-数据分析师,上海,全职,不限,100-299人,本科,1、负责项目的需求调研、数据分析、商业分析和数据挖掘模型等；2、通过统计和数据挖掘算法优化经营效果，向决策层提供战略决策数据支持，规范化数据分析流程；3、跟踪业务/重点项目的发展变化，对业务经营发展状态进行监控分析，提出策略建议报告；4、负责监控各业务线执行情况，推进经营分析相关事项的落地；5、完成领导交办的临时性工作。,交银金科,0-0,0,国企,False
23,数据分析助理,丽水,全职,不限,500-999人,本科,丽水锦蓝钻信息科技有限公司是为政府和企业信息化建设提供专业解决方案的IT公司，专注于新型移动互联网、物联网、大数据、可视化等技术的开发，目前公司已获得CMMI3软件质量体系认证，已被评为省科技型中小企业，国家级高新技术企业也正在申请中，拥有数十项项软件著作权。参与一批数字化应用的开发升级，取得不俗的效果。,丽水锦蓝钻信息科技有限公司,4000-8000,0,事业单位,False
24,数据分析工程师,北京,全职,无经验,1000-9999人,博士,职位描述：1.从事数据密态计算、多方安全计算等数据处理、数据挖掘算法设计和算法优化；2.根据产品研发计划或项目需求，完成需求分析、方案设计，并对各环节形成详细文档。任职要求：博士研究生学历，数学相关专业,国网信息通信产业集团有限公司,0-0,1,国企,False
25,数据分析(J16562),廊坊,全职,无经验,10000人以上,硕士,工作职责：1、参与建立产业互联网客户/物联设备等各类业务对象的标签和指标体系设计，结合行业专家经验和数据挖掘技术建设沉淀高质量的数据画像资产；2、归纳总结产业互联网数据分析框架与模式，沉淀标准化、高复用价值的数据模型、数据标准和数据产品，提升上下游工作效率。任职资格：1、有扎实的数理统计基础，商业分析/统计学/管理科学等数据相关专业；2、熟练运用Hive/SQL/Python/R/Excel/PP...,新奥集团,10000-20000,1,民营,False
26,BI数据分析管培生（上海）,上海,全职,不限,10000人以上,本科,工作职责：1.协助完成BI业务运营数据和预算分析数据的提取、数据处理、报表开发和数据分析2.协助完成数据产品的概要设计以及数据仓库的建模3.参与BI分析产品的服务应用支持4.协助参与统一管理数据集市中数据模型开发工作岗位要求：1.2024届计算机、数据及大数据、软件工程、信息工程、数学、统计学，电子商务等相关理工科专业2.熟悉数据库相关知识，熟悉SQL或MySQL数据库，了解SQL的性能优化等3....,高知特信息技术(上海)有限公司,7000-8000,0,外商独资,False
